personRank,movieTitle,director,person,IMDBRating,year,seen
1,Mona Lisa,Neil Jordan,Dennis Lehane,7.3,1986,
2,Picnic at Hanging Rock,Peter Weir,Dennis Lehane,7.5,1975,
3,The Rules of the Game,Jean Renoir,Dennis Lehane,8.1,1939,
4,The Lady Eve,Preston Sturges,Dennis Lehane,7.8,1941,
5,Insomnia,Erik Skjoldbjæg,Dennis Lehane,7.3,1997,
6,Night and the City,Jules Dassin,Dennis Lehane,7.9,1950,
7,M,Fritz Lang,Dennis Lehane,8.3,1931,
8,The Wages of Fear,Henri-Georges Clouzot,Dennis Lehane,8.1,1953,Yes
9,Do the Right Thing,Spike Lee,Dennis Lehane,7.9,1989,
10,Rushmore,Wes Anderson,Dennis Lehane,7.7,1998,Yes
10,The Royal Tenenbaums,Wes Anderson,Dennis Lehane,7.6,2001,
1,Children of Paradise,Marcel Carné,Christa Lang-Fuller,8.4,1945,
2,The Rules of the Game,Jean Renoir,Christa Lang-Fuller,8.1,1939,
3,That Obscure Object of Desire,Luis Buñuel,Christa Lang-Fuller,7.9,1977,
4,Pickpocket,Robert Bresson,Christa Lang-Fuller,7.7,1959,
5,The Tin Drum,Volker Schlöndorff,Christa Lang-Fuller,7.5,1979,
6,The Marriage of Maria Braun,Rainer Werner Fassbinder,Christa Lang-Fuller,7.8,1979,
7,Alphaville,Jean-Luc Godard,Christa Lang-Fuller,7.2,1965,
8,Contempt,Jean-Luc Godard,Christa Lang-Fuller,7.6,1963,
9,M,Fritz Lang,Christa Lang-Fuller,8.3,1931,
10,The Naked Kiss,Samuel Fuller,Christa Lang-Fuller,7.3,1964,
10,Shock Corridor,Samuel Fuller,Christa Lang-Fuller,7.4,1963,
1,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Neil LaBute,7.6,1975,
1,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Neil LaBute,7.8,1969,
2,Loves of a Blonde,Miloš Forman,Neil LaBute,7.6,1965,
3,Scenes from a Marriage,Ingmar Bergman,Neil LaBute,8.5,1974,
4,A Story of Floating Weeds,Yasujiro Ozu,Neil LaBute,7.8,1934,
4,Floating Weeds,Yasujiro Ozu,Neil LaBute,8,1959,
5,I vitelloni,Federico Fellini,Neil LaBute,7.9,1953,
6,Eyes Without a Face,Georges Franju,Neil LaBute,7.7,1960,
7,Mamma Roma,Pier Paolo Pasolini,Neil LaBute,7.8,1962,
8,Contempt,Jean-Luc Godard,Neil LaBute,7.6,1963,
9,Black Narcissus,Michael Powell and Emeric Pressburger,Neil LaBute,7.8,1947,
10,Kind Hearts and Coronets,Robert Hamer,Neil LaBute,8,1949,
1,General Idi Amin Dada: A Self-Portrait,Barbet Schroeder,Frank Kozik,7.4,1974,
2,The Last Wave,Peter Weir,Frank Kozik,7.1,1977,
3,The Life Aquatic with Steve Zissou,Wes Anderson,Frank Kozik,7.3,2004,Yes
4,The Naked Kiss,Samuel Fuller,Frank Kozik,7.3,1964,
5,Oliver Twist,David Lean,Frank Kozik,7.8,1948,
6,Time Bandits,Terry Gilliam,Frank Kozik,7,1981,
7,Walkabout,Nicolas Roeg,Frank Kozik,7.6,1971,
8,Brazil,Terry Gilliam,Frank Kozik,7.9,1985,
9,Burden of Dreams,Les Blank,Frank Kozik,7.9,1982,
10,Lord of the Flies,Peter Brook,Frank Kozik,6.9,1963,
1,8½,Federico Fellini,Rian Johnson,8,1963,
2,Brazil,Terry Gilliam,Rian Johnson,7.9,1985,
3,F for Fake,Orson Welles,Rian Johnson,7.8,1973,
4,Amarcord,Federico Fellini,Rian Johnson,7.9,1973,
5,Fanny and Alexander: Television Version,Ingmar Bergman,Rian Johnson,9.1,1983,
6,Monsieur Hulot's Holiday,Jacques Tati,Rian Johnson,7.5,1953,
7,Scenes from a Marriage,Ingmar Bergman,Rian Johnson,8.5,1974,
8,The Third Man,Carol Reed,Rian Johnson,8.1,1949,
9,The Bad Sleep Well,Akira Kurosawa,Rian Johnson,8.1,1960,
10,Down by Law,Jim Jarmusch,Rian Johnson,7.8,1986,
1,A Woman Under the Influence,John Cassavetes,David Hudson,8.2,1974,
2,M,Fritz Lang,David Hudson,8.3,1931,
3,Contempt,Jean-Luc Godard,David Hudson,7.6,1963,
4,Berlin Alexanderplatz,Rainer Werner Fassbinder,David Hudson,8.6,1980,
5,Yi Yi,Edward Yang,David Hudson,8.1,2000,
6,Burden of Dreams,Les Blank,David Hudson,7.9,1982,
7,La Jetée,Chris Marker,David Hudson,8.3,1962,
8,Dead Ringers,David Cronenberg,David Hudson,7.3,1988,
9,The Seventh Seal,Ingmar Bergman,David Hudson,8.2,1957,
10,My Night at Maud's,Eric Rohmer,David Hudson,8,1969,
1,Fists in the Pocket,Marco Bellocchio,Jean-Pierre Gorin,7.8,1965,
2,Young Mr. Lincoln,John Ford,Jean-Pierre Gorin,7.6,1939,
3,The Pornographers,Shohei Imamura,Jean-Pierre Gorin,7.3,1966,
4,The Honeymoon Killers,Leonard Kastle,Jean-Pierre Gorin,7,1970,
5,Winter Light,Ingmar Bergman,Jean-Pierre Gorin,8.1,1963,
6,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Jean-Pierre Gorin,7.8,1969,
7,PlayTime,Jacques Tati,Jean-Pierre Gorin,7.9,1967,
8,Shadows,John Cassavetes,Jean-Pierre Gorin,7.3,1958,
9,Le trou,Jacques Becker,Jean-Pierre Gorin,8.6,1960,
10,Pandora's Box,G. W. Pabst,Jean-Pierre Gorin,7.9,1929,
1,The 39 Steps,Alfred Hitchcock,Bruce Goldstein,7.7,1935,Yes
2,Stray Dog,Akira Kurosawa,Bruce Goldstein,7.9,1949,
3,Sullivan's Travels,Preston Sturges,Bruce Goldstein,8,1941,
4,Trouble in Paradise,Ernst Lubitsch,Bruce Goldstein,8,1932,
5,The 400 Blows,François Truffaut,Bruce Goldstein,8.1,1959,
6,À nous la liberté,René Clair,Bruce Goldstein,7.5,1931,
6,Le million,René Clair,Bruce Goldstein,7.4,1931,
7,Big Deal on Madonna Street,Mario Monicelli,Bruce Goldstein,8,1958,
7,Divorce Italian Style,Pietro Germi,Bruce Goldstein,8.6,1960,
8,Great Expectations,David Lean,Bruce Goldstein,7.8,1946,
9,The Honeymoon Killers,Leonard Kastle,Bruce Goldstein,7,1970,
10,Night and the City,Jules Dassin,Bruce Goldstein,7.9,1950,
1,Do the Right Thing,Spike Lee,Matt Dentler,7.9,1989,
2,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Matt Dentler,7.6,1975,
3,High and Low,Akira Kurosawa,Matt Dentler,8.5,1963,
4,Hoop Dreams,Steve James,Matt Dentler,8.3,1994,
5,Rushmore,Wes Anderson,Matt Dentler,7.7,1998,Yes
6,Shadows,John Cassavetes,Matt Dentler,7.3,1958,
7,Tokyo Story,Yasujiro Ozu,Matt Dentler,8.2,1953,
8,Wild Strawberries,Ingmar Bergman,Matt Dentler,8.2,1957,
9,Slacker,Richard Linklater,Matt Dentler,7.1,1990,
10,The Rules of the Game,Jean Renoir,Matt Dentler,8.1,1939,
1,M,Fritz Lang,Gary Giddins,8.3,1931,
2,The Lady Eve,Preston Sturges,Gary Giddins,7.8,1941,
3,The Naked Kiss,Samuel Fuller,Gary Giddins,7.3,1964,
4,High and Low,Akira Kurosawa,Gary Giddins,8.5,1963,
5,Night and the City,Jules Dassin,Gary Giddins,7.9,1950,
6,Richard III,Laurence Olivier,Gary Giddins,7.4,1955,
7,The Complete Mr. Arkadin (Confidential Report),Orson Welles,Gary Giddins,7.3,1955,
8,Children of Paradise,Marcel Carné,Gary Giddins,8.4,1945,
9,The Third Man,Carol Reed,Gary Giddins,8.1,1949,
10,The Honeymoon Killers,Leonard Kastle,Gary Giddins,7,1970,
1,The Seventh Seal,Ingmar Bergman,Peter Cowie,8.2,1957,
2,L'avventura,Michelangelo Antonioni,Peter Cowie,7.9,1960,
3,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Peter Cowie,7.9,1972,
4,The Vanishing,George Sluizer,Peter Cowie,7.7,1988,
5,Häxan,Benjamin Christensen,Peter Cowie,7.7,1922,
6,Children of Paradise,Marcel Carné,Peter Cowie,8.4,1945,
7,Bob le flambeur,Jean-Pierre Melville,Peter Cowie,7.7,1956,
8,Tokyo Story,Yasujiro Ozu,Peter Cowie,8.2,1953,
9,Ashes and Diamonds,Andrzej Wajda,Peter Cowie,7.8,1958,
10,Crazed Fruit,Kô Nakahira,Peter Cowie,7.3,1956,
1,Nanook of the North,Robert Flaherty,Stuart Cooper,7.6,1922,
2,Black Orpheus,Marcel Camus,Stuart Cooper,7.5,1959,
3,Cries and Whispers,Ingmar Bergman,Stuart Cooper,8.1,1972,
4,Monsieur Hulot's Holiday,Jacques Tati,Stuart Cooper,7.5,1953,
5,The Killers,Don Siegel,Stuart Cooper,7.1,1964,
6,Night and Fog,Alain Resnais,Stuart Cooper,8.6,1956,
7,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Stuart Cooper,8.1,1974,
8,The Leopard,Luchino Visconti,Stuart Cooper,8,1963,
9,The Battle of Algiers,Gillo Pontecorvo,Stuart Cooper,8.1,1966,
10,Ashes and Diamonds,Andrzej Wajda,Stuart Cooper,7.8,1958,
1,Do the Right Thing,Spike Lee,Diablo Cody,7.9,1989,
2,Written on the Wind,Douglas Sirk,Diablo Cody,7.4,1956,
3,Schizopolis,Steven Soderbergh,Diablo Cody,6.9,1996,
4,Sid & Nancy,Alex Cox,Diablo Cody,7,1986,
5,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Diablo Cody,7.9,1970,
6,Grey Gardens,"Albert Maysles, David Maysles, Ellen Hovde, and Muffie Meyer",Diablo Cody,7.6,1975,
7,The Blob,Irvin S. Yeaworth Jr.,Diablo Cody,6.4,1958,
8,Pandora's Box,G. W. Pabst,Diablo Cody,7.9,1929,
9,Dazed and Confused,Richard Linklater,Diablo Cody,7.6,1993,
10,The Royal Tenenbaums,Wes Anderson,Diablo Cody,7.6,2001,
1,Seven Samurai,Akira Kurosawa,Jane Campion,8.6,1954,
2,The Night Porter,Liliana Cavani,Jane Campion,6.7,1974,
3,The Firemen's Ball,Miloš Forman,Jane Campion,7.5,1967,
4,That Obscure Object of Desire,Luis Buñuel,Jane Campion,7.9,1977,
5,Contempt,Jean-Luc Godard,Jane Campion,7.6,1963,
6,Tokyo Story,Yasujiro Ozu,Jane Campion,8.2,1953,
7,La strada,Federico Fellini,Jane Campion,8,1954,
8,Scenes from a Marriage,Ingmar Bergman,Jane Campion,8.5,1974,
9,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,Jane Campion,7.5,1954,
1,Billy Liar,John Schlesinger,Steve Buscemi,7.4,1963,
2,Brute Force,Jules Dassin,Steve Buscemi,7.6,1947,
3,The Honeymoon Killers,Leonard Kastle,Steve Buscemi,7,1970,
4,Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",Steve Buscemi,7.5,1992,
5,My Own Private Idaho,Gus Van Sant,Steve Buscemi,7.1,1991,
6,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",Steve Buscemi,7.8,1969,
7,Short Cuts,Robert Altman,Steve Buscemi,7.7,1993,
8,Symbiopsychotaxiplasm,William Greaves,Steve Buscemi,7.3,1968,
9,The Vanishing,George Sluizer,Steve Buscemi,7.7,1988,
10,A Woman Under the Influence,John Cassavetes,Steve Buscemi,8.2,1974,
1,M,Fritz Lang,Michael Barker,8.3,1931,
2,Heaven Can Wait,Ernst Lubitsch,Michael Barker,7.5,1943,
3,L'eclisse,Michelangelo Antonioni,Michael Barker,7.9,1962,
4,Ikiru,Akira Kurosawa,Michael Barker,8.3,1952,
5,The Killers,Robert Siodmak,Michael Barker,7.8,1946,
6,That Obscure Object of Desire,Luis Buñuel,Michael Barker,7.9,1977,
7,Pickpocket,Robert Bresson,Michael Barker,7.7,1959,
8,Contempt,Jean-Luc Godard,Michael Barker,7.6,1963,
9,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Michael Barker,8.1,1974,
10,The Shop on Main Street,Ján Kadár and Elmar Klos,Michael Barker,8.2,1965,
1,L'eclisse,Michelangelo Antonioni,Ramin Bahrani,7.9,1962,
2,Through a Glass Darkly,Ingmar Bergman,Ramin Bahrani,8.1,1961,
2,The Silence,Ingmar Bergman,Ramin Bahrani,7.9,1963,
2,Winter Light,Ingmar Bergman,Ramin Bahrani,8.1,1963,
3,Dekalog,Krzysztof Kieslowski,Ramin Bahrani,9,1989,
4,Bicycle Thieves,Vittorio De Sica,Ramin Bahrani,8.3,1948,Yes
5,La dolce vita,Federico Fellini,Ramin Bahrani,8,1960,
6,Pickpocket,Robert Bresson,Ramin Bahrani,7.7,1959,
7,Pather Panchali,Satyajit Ray,Ramin Bahrani,8.6,1955,
7,Aparajito,Satyajit Ray,Ramin Bahrani,8.3,1956,
7,Apur Sansar,Satyajit Ray,Ramin Bahrani,?,?,
8,Ikiru,Akira Kurosawa,Ramin Bahrani,8.3,1952,
9,The Exterminating Angel,Luis Buñuel,Ramin Bahrani,8.1,1962,
10,Vagabond,Agnès Varda,Ramin Bahrani,7.7,1985,
1,8½,Federico Fellini,Allan Arkush,8,1963,
1,Breathless,Jean-Luc Godard,Allan Arkush,7.9,1960,
2,If....,Lindsay Anderson,Allan Arkush,7.5,1968,Yes
3,Young Mr. Lincoln,John Ford,Allan Arkush,7.6,1939,
4,The Rules of the Game,Jean Renoir,Allan Arkush,8.1,1939,
5,Tokyo Story,Yasujiro Ozu,Allan Arkush,8.2,1953,
6,The Lady Eve,Preston Sturges,Allan Arkush,7.8,1941,
7,Seven Samurai,Akira Kurosawa,Allan Arkush,8.6,1954,
8,Written on the Wind,Douglas Sirk,Allan Arkush,7.4,1956,
9,Monterey Pop,D. A. Pennebaker,Allan Arkush,8,1968,
1,A Woman Is a Woman,Jean-Luc Godard,Allison Anders,7.5,1961,
2,Charade,Stanley Donen,Allison Anders,7.9,1963,
3,3 Women,Robert Altman,Allison Anders,7.8,1977,
4,Carnival of Souls,Herk Harvey,Allison Anders,7.1,1962,
5,Young Mr. Lincoln,John Ford,Allison Anders,7.6,1939,
6,My Man Godfrey,Gregory La Cava,Allison Anders,8,1936,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Allison Anders,7.9,1970,
8,Monterey Pop,D. A. Pennebaker,Allison Anders,8,1968,
9,Dazed and Confused,Richard Linklater,Allison Anders,7.6,1993,
10,The Red Shoes,Michael Powell and Emeric Pressburger,Allison Anders,8.2,1948,
1,F for Fake,Orson Welles,Jonathan Lethem,7.8,1973,
2,Red Beard,Akira Kurosawa,Jonathan Lethem,8.4,1965,
3,I Know Where I'm Going!,Michael Powell and Emeric Pressburger,Jonathan Lethem,7.5,1945,
4,Le trou,Jacques Becker,Jonathan Lethem,8.6,1960,
5,Videodrome,David Cronenberg,Jonathan Lethem,7.3,1983,
6,3 Women,Robert Altman,Jonathan Lethem,7.8,1977,
7,The Making of Fanny and Alexander,Ingmar Bergman,Jonathan Lethem,7.6,1984,
8,Slacker,Richard Linklater,Jonathan Lethem,7.1,1990,
9,The Sword of Doom,Kihachi Okamoto,Jonathan Lethem,8,1966,
10,The Man Who Fell to Earth,Nicolas Roeg,Jonathan Lethem,6.7,1976,
1,Charade,Stanley Donen,Mike Allred,7.9,1963,
2,The Man Who Fell to Earth,Nicolas Roeg,Mike Allred,6.7,1976,
3,Seven Samurai,Akira Kurosawa,Mike Allred,8.6,1954,
4,Le samouraï,Jean-Pierre Melville,Mike Allred,8.1,1967,
5,8½,Federico Fellini,Mike Allred,8,1963,
6,Hard Boiled,John Woo,Mike Allred,7.8,1992,
6,The Killer,John Woo,Mike Allred,7.8,1989,
7,Black Narcissus,Michael Powell and Emeric Pressburger,Mike Allred,7.8,1947,
7,The Red Shoes,Michael Powell and Emeric Pressburger,Mike Allred,8.2,1948,
8,Brazil,Terry Gilliam,Mike Allred,7.9,1985,
8,Time Bandits,Terry Gilliam,Mike Allred,7,1981,
9,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Mike Allred,7.9,1970,
10,Rushmore,Wes Anderson,Mike Allred,7.7,1998,Yes
